Time,X,Y,Z,Q0,Q1,Q2,Q3,Velocity,Acceleration,Mach
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00011099999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005411990980210084,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00971298196042017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,103.12798385307833,0.0
0.013237618006845343,0.0,0.0,0.0010290557782662703,1.0,0.0,0.0,0.0,0.6613653220323067,210.30820500810358,0.0019281787814352965
0.01645584255890086,0.0,0.0,0.004332386743861839,1.0,0.0,0.0,0.0,1.4047915743259076,239.3738401240854,0.004095602257509935
0.026455842558900863,0.0,0.0,0.03151467188920064,1.0,0.0,0.0,0.0,4.058572430246812,265.62716171870755,0.011832572682935312
0.036455842558900865,0.0,0.0,0.085422352959025,1.0,0.0,0.0,0.0,6.71733480870006,264.40145880082923,0.019584066497667814
0.04645584255890087,0.0,0.0,0.1657622304478154,1.0,0.0,0.0,0.0,9.346601606263398,261.7340156781448,0.02724956736519941
0.05645584255890087,0.0,0.0,0.27227750348015667,1.0,0.0,0.0,0.0,11.952015122262956,259.32869876982613,0.034845525137792877
0.06645584255890087,0.0,0.0,0.4047164359983471,1.0,0.0,0.0,0.0,14.533175581659922,258.0055291060213,0.042370774290553706
0.07645584255890087,0.0,0.0,0.5629368600091482,1.0,0.0,0.0,0.0,17.11212570438338,258.1217729118457,0.04988957931307108
0.08645584255890086,0.0,0.0,0.7469730766247491,1.0,0.0,0.0,0.0,19.695611039896832,258.50567430751823,0.05742160653031146
0.09645584255890086,0.0,0.0,0.9568602056886467,1.0,0.0,0.0,0.0,22.28223919053374,258.8191622460836,0.0649627964738593
0.09736489230055766,0.0,0.0,0.977222813452418,1.0,0.0,0.0,0.0,22.517531603193884,258.849452390612,0.06564878018423873
0.09827394204221446,0.0,0.0,0.9977993273735011,1.0,0.0,0.0,0.0,22.75285324618112,258.86686365588844,0.06633484911423068
0.10429709512979204,-3.725021058404132e-08,2.5811114469719926e-11,1.1395390345830811,0.9999999743699957,2.5096603743995065e-09,-3.3722841771895535e-05,6.355881807778197e-05,24.312101226883115,258.8694640630624,0.07088076159441141
0.10990527694318877,-7.575361323874873e-07,9.687705211063228e-12,1.2799566896677563,0.9999999321626227,-5.116998083484085e-09,-0.00014188832828857266,0.0002635514394329038,25.76385567670962,258.79155226146156,0.07511328185629627
0.11990527694318877,-1.0296188081409541e-05,-1.688561625255392e-09,1.5505309853800497,0.9999993735734882,-4.2728873312704284e-07,-0.0005317436962780867,0.0009612580959505969,28.350485504333953,258.49999914387104,0.08265447668902028
0.12990527694318876,-4.974322953887761e-05,-7.946923832545167e-09,1.8469555629658456,0.99999706460328,-2.3605019685603377e-06,-0.001194205242526879,0.0020972764128303553,30.93385565958704,258.1563507666076,0.0901861681037523
0.13990527694318877,-0.00015490974705729694,-2.205902656418784e-08,2.1691960165301194,0.9999909361528247,-7.669558624107201e-06,-0.002152345136199784,0.0036672712914276196,33.513612519666104,257.7791972234718,0.09770732513022187
0.14990527694318878,-0.0003775021512861644,-4.838453317982725e-08,2.517214684308642,0.9999780731738572,-1.9070082027759685e-05,-0.003427927267711983,0.00566180511029277,36.08943960405648,257.3560145609058,0.10521702508471277
0.1599052769431888,-0.000786249560433118,-9.31958509139932e-08,2.8909692889124807,0.9999547295752218,-4.0153534160641805e-05,-0.005039873131450436,0.008067885760158901,38.66073281088423,256.8838650879013,0.1127135067372718
0.1699052769431888,-0.001467860399609145,-1.6579015807846415e-07,3.290412160635326,0.9999163676194687,-7.536880748845845e-05,-0.0070028887175833205,0.010870397831056249,41.227116905814505,256.377938884782,0.12019567611024637
0.1799052769431888,-0.0025277789406458343,-2.798552321928568e-07,3.7154923491703338,0.9998577098314032,-0.00012997476776072938,-0.009327434023688259,0.01405332999989382,43.78829158857987,255.8036682664033,0.12766265769265267
0.18990527694318882,-0.0040906496499675555,-4.5505476054516957e-07,4.166153143908652,0.9997728096354851,-0.00020995501063088835,-0.012018856037918612,0.01760073985674285,46.34319027114258,255.1111369781529,0.13511134189837487
0.19990527694318883,-0.006300294641678221,-7.187686970659028e-07,4.642322972856556,0.9996551476677745,-0.00032189191858458506,-0.015076376542497359,0.021497416313629347,48.890514328142935,254.33564866697952,0.14253794264764705
0.20990527694318883,-0.00931963166060898,-1.1079864742323484e-06,5.1439226923969485,0.9994977634572063,-0.00047279545247490783,-0.018492024599551855,0.025729287694990263,51.42990324448217,253.46609433898857,0.14994140887604132
0.21990527694318884,-0.013330118568538206,-1.671232713772704e-06,5.670866496447129,0.9992934308580383,-0.0006698834835035182,-0.022249608988563797,0.03028364427577688,53.95983621492271,252.28266946587155,0.15731730674904582
0.22990527694318885,-0.018529335127836537,-2.470160580111324e-06,6.223031331024887,0.9990348797178632,-0.0009203172974412257,-0.026324028451489408,0.03514913313596649,56.47555663379961,250.81390231997602,0.16465176861166067
